Size,FixedSortTime,OptimizedSortTime
1000,0.001,0.001
2000,0.004,0.005
3000,0.009,0.012
4000,0.017,0.017
5000,0.027,0.028
6000,0.041,0.045
7000,0.061,0.063
8000,0.079,0.083
9000,0.103,0.108
10000,0.131,0.138
11000,0.163,0.171
12000,0.201,0.205
13000,0.237,0.249
14000,0.283,0.297
15000,0.341,0.341
16000,0.383,0.397
17000,0.447,0.446
18000,0.499,0.517
19000,0.564,0.575
20000,0.632,0.634
21000,0.708,0.714
22000,0.779,0.787
23000,0.857,0.875
24000,0.932,0.945
25000,1.034,1.049
26000,1.126,1.13
27000,1.212,1.228
28000,1.323,1.333
29000,1.409,1.417
30000,1.529,1.524
31000,1.625,1.632
32000,1.747,1.738
33000,1.857,1.863
34000,1.975,1.981
35000,2.093,2.094
36000,2.227,2.23
37000,2.329,2.387
38000,2.523,2.482
39000,2.658,2.643
40000,2.782,2.776
41000,2.924,2.914
42000,3.069,3.078
43000,3.219,3.218
44000,3.377,3.368
45000,3.555,3.533
46000,3.699,3.718
47000,3.858,3.847
48000,4.057,4.054
49000,4.206,4.191
50000,4.393,4.377
